date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:08:17	28485/28485	---MC-	200	added ('OK')	text/html	date:Sun,%2023%20Jun%202024%2023:55:57%20GMT	http://wp12183585.server-he.de/npubwiki/wiki/index.php/Main_Page	C:/My%20Web%20Sites/NIPWG/wp12183585.server-he.de/npubwiki/wiki/index.php/Main_Page.html	(from )
11:08:17	1009/1009	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Nov%202024%2010:08:17%20GMT	http://wp12183585.server-he.de/robots.txt		(from )
11:08:17	966/966	---M--	200	added ('OK')	image/jpeg	etag:%223c6-60287297a7dcc%22	http://wp12183585.server-he.de/npubwiki/wiki/NIPWGWikiIcon32.jpg	C:/My%20Web%20Sites/NIPWG/wp12183585.server-he.de/npubwiki/wiki/NIPWGWikiIcon32.jpg	(from http://wp12183585.server-he.de/npubwiki/wiki/index.php/Main_Page)
11:08:18	37236/37236	---MC-	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2010:08:19%20GMT	http://wp12183585.server-he.de/npubwiki/wiki/index.php/Special:ListUsers	C:/My%20Web%20Sites/NIPWG/wp12183585.server-he.de/npubwiki/wiki/index.php/Special_ListUsers.html	(from http://wp12183585.server-he.de/npubwiki/wiki/index.php/Main_Page)
11:08:20	18256/18256	---MC-	200	added ('OK')	text/html	date:Thu,%2010%20Aug%202023%2001:18:31%20GMT	http://wp12183585.server-he.de/npubwiki/wiki/index.php/NIPWG_S-122_marine_protected_areas	C:/My%20Web%20Sites/NIPWG/wp12183585.server-he.de/npubwiki/wiki/index.php/NIPWG_S-122_marine_protected_areas.html	(from http://wp12183585.server-he.de/npubwiki/wiki/index.php/Main_Page)
11:08:21	17964/17964	---MC-	200	added ('OK')	text/html	date:Thu,%2010%20Aug%202023%2001:18:31%20GMT	http://wp12183585.server-he.de/npubwiki/wiki/index.php/S-122_MPA_Best_Practices	C:/My%20Web%20Sites/NIPWG/wp12183585.server-he.de/npubwiki/wiki/index.php/S-122_MPA_Best_Practices.html	(from http://wp12183585.server-he.de/npubwiki/wiki/index.php/Main_Page)
11:08:22	30436/30436	---MC-	200	added ('OK')	text/html	date:Wed,%2006%20Dec%202023%2003:45:04%20GMT	http://wp12183585.server-he.de/npubwiki/wiki/index.php/NIPWG_S-123_marine_radio_services	C:/My%20Web%20Sites/NIPWG/wp12183585.server-he.de/npubwiki/wiki/index.php/NIPWG_S-123_marine_radio_services.html	(from http://wp12183585.server-he.de/npubwiki/wiki/index.php/Main_Page)
11:08:23	17964/17964	---MC-	200	added ('OK')	text/html	date:Thu,%2010%20Aug%202023%2001:18:31%20GMT	http://wp12183585.server-he.de/npubwiki/wiki/index.php/S-123_MRS_Best_Practices	C:/My%20Web%20Sites/NIPWG/wp12183585.server-he.de/npubwiki/wiki/index.php/S-123_MRS_Best_Practices.html	(from http://wp12183585.server-he.de/npubwiki/wiki/index.php/Main_Page)
11:08:23	18423/18423	---MC-	200	added ('OK')	text/html	date:Thu,%2010%20Aug%202023%2001:18:31%20GMT	http://wp12183585.server-he.de/npubwiki/wiki/index.php/NIPWG_S-125_marine_aids_to_navigation	C:/My%20Web%20Sites/NIPWG/wp12183585.server-he.de/npubwiki/wiki/index.php/NIPWG_S-125_marine_aids_to_navigation.html	(from http://wp12183585.server-he.de/npubwiki/wiki/index.php/Main_Page)
11:08:24	18116/18116	---MC-	200	added ('OK')	text/html	date:Thu,%2010%20Aug%202023%2001:18:31%20GMT	http://wp12183585.server-he.de/npubwiki/wiki/index.php/S-125_Marine_AToN_Best_Practices	C:/My%20Web%20Sites/NIPWG/wp12183585.server-he.de/npubwiki/wiki/index.php/S-125_Marine_AToN_Best_Practices.html	(from http://wp12183585.server-he.de/npubwiki/wiki/index.php/Main_Page)
11:08:26	20943/20943	---MC-	200	added ('OK')	text/html	date:Thu,%2010%20Aug%202023%2001:18:31%20GMT	http://wp12183585.server-he.de/npubwiki/wiki/index.php/NIPWG_S-126_envrm_cndtn	C:/My%20Web%20Sites/NIPWG/wp12183585.server-he.de/npubwiki/wiki/index.php/NIPWG_S-126_envrm_cndtn.html	(from http://wp12183585.server-he.de/npubwiki/wiki/index.php/Main_Page)
11:08:27	21355/21355	---MC-	200	added ('OK')	text/html	date:Wed,%2006%20Dec%202023%2004:20:15%20GMT	http://wp12183585.server-he.de/npubwiki/wiki/index.php/NIPWG_S-127_traffic_management_discussions	C:/My%20Web%20Sites/NIPWG/wp12183585.server-he.de/npubwiki/wiki/index.php/NIPWG_S-127_traffic_management_discussions.html	(from http://wp12183585.server-he.de/npubwiki/wiki/index.php/Main_Page)
11:08:28	18054/18054	---MC-	200	added ('OK')	text/html	date:Tue,%2012%20Sep%202023%2012:47:25%20GMT	http://wp12183585.server-he.de/npubwiki/wiki/index.php/S-127_MTM_Best_Practices	C:/My%20Web%20Sites/NIPWG/wp12183585.server-he.de/npubwiki/wiki/index.php/S-127_MTM_Best_Practices.html	(from http://wp12183585.server-he.de/npubwiki/wiki/index.php/Main_Page)
11:08:29	19625/19625	---MC-	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202024%2021:39:52%20GMT	http://wp12183585.server-he.de/npubwiki/wiki/index.php/NIPWG_S-128_catalogue_of_nautical_products	C:/My%20Web%20Sites/NIPWG/wp12183585.server-he.de/npubwiki/wiki/index.php/NIPWG_S-128_catalogue_of_nautical_products.html	(from http://wp12183585.server-he.de/npubwiki/wiki/index.php/Main_Page)
11:08:29	17964/17964	---MC-	200	added ('OK')	text/html	date:Thu,%2010%20Aug%202023%2001:18:31%20GMT	http://wp12183585.server-he.de/npubwiki/wiki/index.php/S-128_CNP_Best_Practices	C:/My%20Web%20Sites/NIPWG/wp12183585.server-he.de/npubwiki/wiki/index.php/S-128_CNP_Best_Practices.html	(from http://wp12183585.server-he.de/npubwiki/wiki/index.php/Main_Page)
11:08:30	35397/35397	---MC-	200	added ('OK')	text/html	date:Thu,%2010%20Aug%202023%2001:18:31%20GMT	http://wp12183585.server-he.de/npubwiki/wiki/index.php/NIPWG_S-1xx_hrb_infrstrctr	C:/My%20Web%20Sites/NIPWG/wp12183585.server-he.de/npubwiki/wiki/index.php/NIPWG_S-1xx_hrb_infrstrctr.html	(from http://wp12183585.server-he.de/npubwiki/wiki/index.php/Main_Page)
11:08:32	44138/44138	---MC-	200	added ('OK')	text/html	date:Thu,%2020%20Jun%202024%2000:43:30%20GMT	http://wp12183585.server-he.de/npubwiki/wiki/index.php/S-131_MHI_Best_Practices	C:/My%20Web%20Sites/NIPWG/wp12183585.server-he.de/npubwiki/wiki/index.php/S-131_MHI_Best_Practices.html	(from http://wp12183585.server-he.de/npubwiki/wiki/index.php/Main_Page)
11:08:32	29257/29257	---MC-	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202024%2022:13:48%20GMT	http://wp12183585.server-he.de/npubwiki/wiki/index.php/Help:Contents	C:/My%20Web%20Sites/NIPWG/wp12183585.server-he.de/npubwiki/wiki/index.php/Help_Contents.html	(from http://wp12183585.server-he.de/npubwiki/wiki/index.php/Main_Page)
11:08:33	17994/17994	---MC-	200	added ('OK')	text/html	date:Thu,%2010%20Aug%202023%2001:18:31%20GMT	http://wp12183585.server-he.de/npubwiki/wiki/index.php/Talk:Main_Page	C:/My%20Web%20Sites/NIPWG/wp12183585.server-he.de/npubwiki/wiki/index.php/Talk_Main_Page.html	(from http://wp12183585.server-he.de/npubwiki/wiki/index.php/Main_Page)
